Category;IdCat
Abstract;1000
Abstract Strategy;1009
Action / Dexterity;1032
Adventure;1022
Age of Reason;2726
American Civil War;1048
American Indian Wars;1108
American Revolutionary War;1075
American West;1055
Ancient;1050
Animals;1089
Arabian;1052
Aviation / Flight;2650
Bluffing;1023
Book;1117
Card Game;1002
Children's Game;1041
City Building;1029
Civil War;1102
Civilization;1015
Collectible Components;1044
Comic Book / Strip;1116
Deduction;1039
Dice;1017
Economic;1021
Educational;1094
Electronic;1072
Environmental;1084
Expansion for Base-game;1042
Exploration;1020
Fan Expansion;2687
Fantasy;1010
Farming;1013
Fighting;1046
Game System;1119
Horror;1024
Humor;1079
Industry / Manufacturing;1088
Korean War;1091
Mafia;1033
Math;1104
Mature / Adult;1118
Maze;1059
Medical;2145
Medieval;1035
Memory;1045
Miniatures;1047
Modern Warfare;1069
Movies / TV / Radio theme;1064
Murder/Mystery;1040
Music;1054
Mythology;1082
Napoleonic;1051
Nautical;1008
Negotiation;1026
Novel-based;1093
Number;1098
Party Game;1030
Pike and Shot;2725
Pirates;1090
Political;1001
Post-Napoleonic;2710
Prehistoric;1036
Print & Play;1120
Puzzle;1028
Racing;1031
Real-time;1037
Religious;1115
Renaissance;1070
Science Fiction;1016
Space Exploration;1113
Spies/Secret Agents;1081
Sports;1038
Territory Building;1086
Trains;1034
Transportation;1011
Travel;1097
Trivia;1027
Video Game Theme;1101
Vietnam War;1109
Wargame;1019
Word Game;1025
World War I;1065
World War II;1049
Zombies;2481